algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,error_message,repetition,hyper_params_id,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC
Fast-MCD,skab,valve1_2,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.5635385513305664,,,1.723069190979004,,,0.7997113057183985
Fast-MCD,skab,valve1_3,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.421142339706421,,,1.783334493637085,,,0.8177619775400359
Fast-MCD,skab,valve1_4,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.550260305404663,,,1.7947461605072021,,,0.7195510727701514
Fast-MCD,skab,valve1_5,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.6671900749206543,,,1.829535722732544,,,0.8636953871265112
Fast-MCD,skab,valve1_6,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.590460777282715,,,1.7723066806793213,,,0.8602284527518173
Fast-MCD,skab,valve1_7,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.5913515090942383,,,1.8178446292877197,,,0.9136375853356986
Fast-MCD,skab,valve1_8,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.5298848152160645,,,1.8739542961120605,,,0.979929435483871
Fast-MCD,skab,valve1_9,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.577228546142578,,,1.7744622230529785,,,0.8360643164872688
Fast-MCD,skab,valve2_0,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.8133513927459717,,,1.7204487323760986,,,0.6254730672814516
Fast-MCD,skab,valve2_1,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.5614123344421387,,,1.7557594776153564,,,0.8970093381052284
Fast-MCD,skab,valve2_2,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.6170942783355713,,,1.8854272365570068,,,0.8543200082778601
Fast-MCD,skab,valve2_3,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.542858839035034,,,1.720022201538086,,,0.7646582278481013
Isolation Forest (iForest),skab,other_13,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.3672983646392822,,,0.6147447765141496
Isolation Forest (iForest),skab,other_14,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.236605644226074,,,0.6320913895545416
Isolation Forest (iForest),skab,other_15,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.2331345081329346,,,0.533552178534896
Isolation Forest (iForest),skab,other_16,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.2430670261383057,,,0.5332117779415758
Isolation Forest (iForest),skab,other_17,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.1803035736083984,,,0.6028742762613731
Isolation Forest (iForest),skab,other_18,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.216604471206665,,,0.5616634191090308
Isolation Forest (iForest),skab,other_19,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.2105703353881836,,,0.570108323555244
Isolation Forest (iForest),skab,other_20,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.2860641479492188,,,0.5175915383232457
Isolation Forest (iForest),skab,other_21,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.2342519760131836,,,0.48091595335984366
Isolation Forest (iForest),skab,other_22,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.220872163772583,,,0.34566690584389703
Isolation Forest (iForest),skab,valve1_0,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.2587435245513916,,,0.5026222929957569
Isolation Forest (iForest),skab,valve1_1,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.2676684856414795,,,0.5884540956054184
Isolation Forest (iForest),skab,valve1_10,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.285125255584717,,,0.69794975648128
Isolation Forest (iForest),skab,valve1_11,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.295349597930908,,,0.5187936147646744
Isolation Forest (iForest),skab,valve1_12,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.3285105228424072,,,0.6305405889893424
Isolation Forest (iForest),skab,valve1_13,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.2137374877929688,,,0.6665178465732482
Isolation Forest (iForest),skab,valve1_14,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.242964506149292,,,0.6634186818397345
